query_id,doc_id,relevance,iteration
447860,D1195712,1,0
448495,D994893,1,0
449139,D2915270,1,0
449699,D1223309,1,0
450912,D797804,1,0
453197,D510778,1,0
456036,D660045,1,0
456771,D603107,1,0
458986,D557318,1,0
460594,D2891081,1,0
461442,D970430,1,0
465352,D1343115,1,0
470589,D495473,1,0
472153,D2130327,1,0
473852,D3103013,1,0
474784,D278473,1,0
477989,D246561,1,0
480308,D410906,1,0
484799,D249419,1,0
485680,D368036,1,0
492378,D382535,1,0
494720,D3047594,1,0
495411,D1927841,1,0
495923,D3112364,1,0
496850,D575799,1,0
500557,D386097,1,0
501271,D1957785,1,0
503402,D786015,1,0
505666,D1001047,1,0
505994,D1720166,1,0
508653,D1340262,1,0
508972,D133224,1,0
513229,D1108066,1,0
513481,D1068002,1,0
516396,D1444796,1,0
520945,D579957,1,0
523828,D1002943,1,0
526325,D564046,1,0
527054,D1000808,1,0
527409,D550746,1,0
527882,D962526,1,0
528514,D769446,1,0
530906,D95961,1,0
531658,D2096916,1,0
532618,D532818,1,0
533679,D130274,1,0
534252,D2820701,1,0
540852,D1174813,1,0
550196,D909738,1,0
550766,D143006,1,0
552589,D1374684,1,0
555164,D1190523,1,0
555480,D643005,1,0
556024,D3139100,1,0
561842,D820554,1,0
563070,D3183156,1,0
564164,D74961,1,0
564749,D426719,1,0
568001,D61928,1,0
568284,D1036426,1,0
569322,D180600,1,0
570089,D2959167,1,0
572300,D1191334,1,0
574261,D501196,1,0
575376,D24712,1,0
577252,D741740,1,0
578976,D805461,1,0
580159,D997067,1,0
581602,D1335227,1,0
581814,D497825,1,0
585595,D566033,1,0
586118,D2825032,1,0
588758,D415296,1,0
589483,D975127,1,0
590907,D2212679,1,0
591969,D949946,1,0
593167,D338121,1,0
593484,D3114722,1,0
597316,D1230426,1,0
598146,D69859,1,0
599679,D1242485,1,0
602322,D826162,1,0
607472,D2479540,1,0
609346,D2823007,1,0
612873,D2818399,1,0
614880,D438629,1,0
617310,D443817,1,0
617687,D438234,1,0
619081,D1197582,1,0
622034,D872393,1,0
628758,D769579,1,0
629106,D838402,1,0
630470,D471351,1,0
641050,D587303,1,0
642326,D1236899,1,0
643160,D345801,1,0
643914,D864877,1,0
645633,D3218528,1,0
647062,D1076558,1,0
647553,D940627,1,0
649316,D3196353,1,0
651950,D1014625,1,0
658527,D253345,1,0
658823,D1194415,1,0
662069,D1275499,1,0
666701,D1284411,1,0
668986,D494250,1,0
670914,D921799,1,0
672970,D2657566,1,0
674071,D903182,1,0
675655,D2926992,1,0
682897,D2887057,1,0
683261,D216798,1,0
683499,D539091,1,0
686863,D1367920,1,0
688298,D1130867,1,0
690667,D710350,1,0
693538,D2279667,1,0
694987,D1385567,1,0
702342,D365439,1,0
703467,D196009,1,0
707574,D800848,1,0
709895,D1676455,1,0
712551,D1346635,1,0
715485,D1317834,1,0
717663,D651003,1,0
718278,D916295,1,0
723842,D3166108,1,0
724060,D3143148,1,0
726036,D954764,1,0
727327,D656750,1,0
729366,D829318,1,0
735243,D573720,1,0
739110,D2932202,1,0
740557,D668156,1,0
742580,D89491,1,0
743300,D1394072,1,0
743346,D253499,1,0
743630,D3265229,1,0
744398,D7422,1,0
745625,D455675,1,0
747212,D3221502,1,0
747633,D151075,1,0
748910,D390824,1,0
749818,D615990,1,0
754126,D581329,1,0
754672,D624533,1,0
754928,D126221,1,0
758862,D6,1,0
759598,D840283,1,0
764503,D106362,1,0
765607,D159925,1,0
765740,D2357088,1,0
774817,D2307934,1,0
775142,D2377697,1,0
776916,D432953,1,0
779409,D1050496,1,0
781225,D2048485,1,0
785241,D654268,1,0
785475,D1535516,1,0
785672,D2546497,1,0
789400,D1660899,1,0
793868,D1460541,1,0
798407,D1857547,1,0
799764,D2147472,1,0
801835,D443075,1,0
802521,D392697,1,0
803797,D1778709,1,0
804015,D324581,1,0
810400,D230399,1,0
813093,D2024321,1,0
814015,D13675,1,0
816004,D981370,1,0
817304,D2217001,1,0
817400,D2939211,1,0
817843,D725151,1,0
818321,D1873385,1,0
820201,D2474261,1,0
821346,D289848,1,0
821743,D21876,1,0
826258,D402455,1,0
827938,D932638,1,0
827990,D2120330,1,0
828906,D1252903,1,0
832244,D2420989,1,0
832403,D1495469,1,0
833072,D1315743,1,0
834122,D2404356,1,0
836553,D1694741,1,0
836774,D385665,1,0
848221,D2147005,1,0
848235,D1685120,1,0
855025,D1998118,1,0
856175,D1475348,1,0
856622,D2847171,1,0
857226,D462297,1,0
859486,D1480005,1,0
859774,D2063056,1,0
860069,D2200434,1,0
862994,D2549024,1,0
864278,D1686495,1,0
864971,D2222520,1,0
864995,D2435547,1,0
866400,D2153115,1,0
875251,D2010147,1,0
876199,D1770072,1,0
879956,D391444,1,0
881954,D2000019,1,0
882047,D1818027,1,0
882950,D27305,1,0
887040,D857437,1,0
887559,D1603126,1,0
888171,D2849326,1,0
888547,D3533283,1,0
890153,D2076468,1,0
891962,D1542507,1,0
894091,D1594516,1,0
896961,D1602035,1,0
900333,D1481589,1,0
902063,D1534417,1,0
903480,D1843696,1,0
910265,D1726546,1,0
911733,D285378,1,0
912659,D1036505,1,0
915016,D2356986,1,0
916436,D1703030,1,0
919250,D1703986,1,0
921021,D2089277,1,0
921780,D1966318,1,0
924324,D2905639,1,0
927308,D1461287,1,0
929446,D1828795,1,0
929494,D2333044,1,0
929499,D2161113,1,0
935078,D1685734,1,0
935157,D389795,1,0
935917,D37884,1,0
939547,D1711603,1,0
943242,D2301644,1,0
943451,D1606583,1,0
944873,D2114033,1,0
946853,D1738139,1,0
948135,D1446329,1,0
952448,D2529139,1,0
953526,D2408595,1,0
957344,D1777361,1,0
957804,D2535255,1,0
959009,D1860924,1,0
959552,D2167923,1,0
964964,D2456665,1,0
966755,D2032473,1,0
966998,D2837977,1,0
968390,D1706919,1,0
972236,D2410177,1,0
978173,D480184,1,0
984954,D2551327,1,0
985355,D2605632,1,0
985804,D2151413,1,0
987161,D2330568,1,0
987556,D1974809,1,0
987579,D1785613,1,0
988783,D1993746,1,0
989463,D2625148,1,0
993466,D2423429,1,0
998204,D2067404,1,0
1000093,D2436050,1,0
1003352,D1687287,1,0
1005983,D1777097,1,0
1007046,D1685232,1,0
1008726,D314070,1,0
1010516,D1793098,1,0
1011371,D1965503,1,0
1012404,D791109,1,0
1012859,D440908,1,0
1012962,D1789261,1,0
1019842,D2509921,1,0
1020862,D1992758,1,0
1025530,D166568,1,0
1027553,D2061102,1,0
1033082,D1785107,1,0
1038427,D189939,1,0
1041413,D1465527,1,0
1042927,D1981580,1,0
1051059,D2386354,1,0
1058916,D520084,1,0
1059024,D1469434,1,0
1062117,D2939284,1,0
1062230,D1618449,1,0
1063151,D113145,1,0
1063710,D1812590,1,0
1065788,D1801955,1,0
1067567,D2105381,1,0
1072766,D1511846,1,0
1079099,D1665239,1,0
1080302,D117665,1,0
1137489,D1676666,1,0
1141122,D1537172,1,0
1143480,D1444341,1,0
1145035,D1385595,1,0
1146343,D1338303,1,0
1148270,D1268880,1,0
1150268,D1017238,1,0
1152227,D1115639,1,0
1153122,D1079775,1,0
1153420,D1067659,1,0
1154152,D822246,1,0
1156968,D924968,1,0
1157952,D884098,1,0
1161087,D753030,1,0
1161711,D724312,1,0
1162142,D703541,1,0
1165032,D566075,1,0
1166609,D491631,1,0
1166730,D485461,1,0
1167201,D461573,1,0
1168589,D389919,1,0
1168640,D387160,1,0
1171527,D235816,1,0
1171750,D224141,1,0
1173530,D128150,1,0
1177041,D3120506,1,0
1177823,D191143,1,0
1179580,D2308059,1,0
1180546,D1948248,1,0
1183697,D622005,1,0
1185501,D117295,1,0
